gaia_dr3,ra,dec,G_mag,MH_XP_dex,instrument
1810432623428484992,303.7079605422183,19.16330909475128,10.028301,0.41,APF
2076073979856273664,300.5311779181066,44.14327837342252,10.695542,0.444,PEPSI
2241587416547315584,297.21581481680755,64.35435054093593,10.477408,0.415,APF
1972949478614475520,325.3829955497713,43.39273468671522,10.304989,0.408,HIRES
2046021505262823296,291.9066943032238,33.2143411783114,10.281549,0.425,PEPSI
2759121045748142848,358.15933782685454,9.201772783454684,10.619968,0.418,HIRES
2085055993420266624,304.91093819282247,50.29054007907245,10.58744,0.435,HIRES
2250991230259434496,298.46127897444995,69.1304467602068,9.803871,0.479,PEPSI
647383581622234496,147.46162905060197,28.43910309606524,10.737537,0.515,PEPSI
4537290729532341120,278.6096940303949,26.573142103802116,10.700481,0.421,APF
1344347754609974912,266.91597710478703,39.0602990517444,10.140505,0.472,APF+PEPSI
2882288059116860928,359.8474381611233,41.37291249886528,9.981741,0.404,HIRES
2105262611951880320,282.0798188207148,43.60376481882258,10.762107,0.405,APF
3958303608740295296,195.1546437890981,25.984522358858708,10.410056,0.426,PEPSI
1427663587506214784,242.14350203719852,51.63681635737546,8.977383,0.442,PEPSI
4267387391205504256,287.4254771352985,1.2340860863066947,8.664588,0.412,APF
4463900836634494720,246.65594542900047,14.830698392279633,8.892968,0.456,PEPSI
4501987885065205248,271.07129846297823,16.210765269014313,10.526661,0.402,HIRES
1812617348721111552,309.46048800281613,18.88353598228225,10.84813,0.423,HIRES
2034483990505147904,299.3625488295963,33.761801027365834,10.460835,0.412,HIRES
1664530724642168448,205.6998657577004,62.47447807509872,9.429831,0.426,PEPSI
1518538605793638656,190.7395557630813,36.14759050201698,10.9340105,0.419,PEPSI
1289565687269465600,222.61587324234583,33.14571216381096,9.261365,0.423,PEPSI
4006726444423916544,181.75231998454944,27.01604569940224,10.203237,0.427,PEPSI
1050440187607443712,151.61724272648715,61.52743014221039,10.06115,0.43,PEPSI
4563963404148476800,250.10000706583776,20.40855228920073,10.798249,0.427,PEPSI
1315367857917145856,241.5292573138956,25.64116811525697,10.216059,0.435,PEPSI
2207311069265753088,344.2774173069516,63.032131414944935,8.348255,0.441,HIRES
2222930319131123584,325.97450731704186,68.41727766205055,10.4015255,0.409,HIRES
4430730494968490368,234.0640157105435,7.080515953224182,10.182075,0.429,PEPSI
3944854382508327936,197.43551260177315,23.513528274431412,10.461935,0.482,APF+HIRES
2134294185689376512,287.59899430247486,52.29819334708691,10.848686,0.422,APF
1969914723446419072,318.81900446592897,42.96520597965826,9.923825,0.423,HIRES
4311008797037316224,285.15374351375505,10.163974107461335,10.403482,0.422,APF+PEPSI
2250537578633588352,305.1298679895843,69.52741925937543,10.756805,0.436,HIRES
1835520283318364800,302.96289264041576,25.68478640414344,10.801505,0.403,APF
1956623998681016960,330.7195956558292,40.23759142956954,10.154742,0.487,PEPSI
2060055328082386304,301.43338505588,37.10202662335577,10.006681,0.434,PEPSI
1817438775924874496,309.58565783378504,20.838390276304334,10.821294,0.423,PEPSI
1577822554777070208,189.86338206302804,57.77782442556221,10.149462,0.411,HIRES
4492635198637928448,263.93974857018173,10.562246136474634,10.630685,0.412,PEPSI
4596318389222965504,266.46969349234735,28.897484394573294,10.705191,0.428,PEPSI
3981490689765823744,162.47231281560062,15.483900016139852,10.372841,0.422,PEPSI
744784953040324864,149.06869350599987,30.16163587537299,10.261618,0.431,PEPSI
1373298170645854208,239.9128124432302,37.66832798230432,10.650183,0.371,PEPSI
1172246044236127744,219.0111367275305,7.117682649647425,9.918842,0.414,HIRES
1349677912103573888,267.19925672624044,44.42439904446877,10.817383,0.381,PEPSI
3825993705211972864,147.4319749234806,-3.6883308934885943,10.204622,0.454,PEPSI
4285843204916407296,282.3218911454089,6.839525900317045,10.39641,0.436,APF+PEPSI
4607078038213603712,273.10695729142753,37.60596816756257,10.898322,0.377,PEPSI
4553137647030000384,267.22317855050835,21.9270493795145,10.54978,0.434,APF
1615356205256881920,232.80593799644348,60.69395411079358,10.8971405,0.387,PEPSI
1291436403222476928,226.5337149796325,34.75341571806178,7.519795,0.424,APF+HIRES
4547137062312951680,261.24032172534004,16.934928276182855,7.39972,0.41,HIRES+PEPSI
1332825044549520640,246.98674753838145,40.03573746702922,10.553248,0.417,HIRES
4591824513402826112,274.7279706442373,31.584102029405223,10.840742,0.392,APF
